#thickness,repetition,unprocessed,length,width,saw blade thickness,edge cutting,number of sub-panels,panel utilization,number of layers,material
16,1,1,1220,2800,4.4,5,29,0.947190,1,Appearances
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
0,3,0,1220,1220,4,0,-1,0,0,2800,1.8,5,NONE
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
18,0,0,150,150,0,0,2,213.8,773.8,2020,2020,0,L150_W2020_13
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
19,0,0,150,150,0,0,2,59.4,773.8,2020,2020,0,L150_W2020_14
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
20,0,0,50,50,0,0,2,5,773.8,2020,2020,0,L50_W2020_15
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
21,3,0,1220,29.8,3,5,0,0,69.4,700,700,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,2,5,1
1,0,364,2
2,0,444,1
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
22,0,0,29.8,29.8,0,0,21,1190.2,69.4,700,700,0,$L29.8_W700_16
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
23,0,0,444,444,0,0,21,741.8,69.4,700,700,0,L444_W700_17
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
24,0,0,364,364,0,0,21,373.4,69.4,700,700,0,L364_W700_18
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
25,0,0,364,364,0,0,21,5,69.4,700,700,0,L364_W700_19
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
26,1,0,1220,210.6,2,5,0,0,5,60,60,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,2,5,1
1,0,1000,1
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
27,0,0,210.6,210.6,0,0,26,1009.4,5,60,60,0,$L210.6_W60_20
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
28,0,0,1000,1000,0,0,26,5,5,60,60,0,L1000_W60_21
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#layer data(label item shall conform to template label)
#layer number,number of panels,label item
0,1,14
#code (key word - unique in the cutting pattern),BarCode,Material,CutLen,CutWid,Thickness,Length,Width,SideLen1,SideLen2,SideWid1,SideWid2,
L130_W1100_4,,Appearances,130,1100,16,130,1100,,,E2,,
L60_W900_6,,Appearances,60,900,16,60,900,,,,,
L60_W900_7,,Appearances,60,900,16,60,900,,,,,
L700_W514_9,,Appearances,514,700,16,514,700,E2,E2,E2,E2,
L700_W494_10,,Appearances,494,700,16,494,700,E2,E2,E2,E2,
L700_W494_11,,Appearances,494,700,16,494,700,E2,E2,E2,E2,
L700_W494_12,,Appearances,494,700,16,494,700,E2,E2,E2,E2,
L150_W2020_13,,Appearances,150,2020,16,150,2020,,,MC,,
L150_W2020_14,,Appearances,150,2020,16,150,2020,,,MC,,
L50_W2020_15,,Appearances,50,2020,16,50,2020,,,MC,MC,
L444_W700_17,,Appearances,444,700,16,444,700,E2,E2,E2,E2,
L364_W700_18,,Appearances,364,700,16,364,700,E2,E2,E2,E2,
L364_W700_19,,Appearances,364,700,16,364,700,E2,E2,E2,E2,
L1000_W60_21,,Appearances,60,1000,16,60,1000,,,,,
