#thickness,repetition,unprocessed,length,width,saw blade thickness,edge cutting,number of sub-panels,panel utilization,number of layers,material
16,1,1,1830,3660,4.4,5,47,0.958135,1,Cabinet Body
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
0,2,0,1830,1830,2,0,-1,0,0,3660,0,5,NONE
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
18,0,0,580,580,0,0,17,99.4,3658.6,1.4,1.4,0,$L580_W1.4_13
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
19,0,0,580,580,0,0,17,99.4,2554.2,1100,1100,0,L580_W1100_14
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
20,0,0,580,580,0,0,17,99.4,1949.8,600,600,0,L580_W600_15
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
21,0,0,580,580,0,0,17,99.4,1377.4,568,568,0,L580_W568_16
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
22,3,0,90,90,3,0,1,5,1377.4,2282.6,9.4,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,1,809,1
1,1,488,1
2,1,963,1
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
23,0,0,90,90,0,0,22,5,3650.6,9.4,9.4,0,$L90_W9.4_17
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
24,1,0,90,5.6,1,0,22,5,2683.2,963,963,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,0,80,1
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
25,0,0,5.6,5.6,0,0,24,89.4,2683.2,963,963,0,$L5.6_W963_18
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
26,0,0,80,80,0,0,24,5,2683.2,963,963,0,L80_W963_19
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
27,1,0,90,5.6,1,0,22,5,2190.8,488,488,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,0,80,1
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
28,0,0,5.6,5.6,0,0,27,89.4,2190.8,488,488,0,$L5.6_W488_20
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
29,0,0,80,80,0,0,27,5,2190.8,488,488,0,L80_W488_21
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
30,0,0,90,90,0,0,22,5,1377.4,809,809,0,L90_W809_22
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
31,2,0,1830,0,2,5,0,0,5,1368,1368,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,2,5,1
1,0,80,1
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
32,3,0,1740.6,1740.6,2,0,31,89.4,5,1368,20.8,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,1,180,1
1,1,577,2
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
33,0,0,1740.6,1740.6,0,0,32,89.4,1352.2,20.8,20.8,0,$L1740.6_W20.8_23
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
34,2,0,1740.6,5.8,1,0,32,89.4,770.8,577,577,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,0,863,2
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
35,0,0,5.8,5.8,0,0,34,1824.2,770.8,577,577,0,$L5.8_W577_24
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
36,0,0,863,863,0,0,34,956.8,770.8,577,577,0,L863_W577_25
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
37,0,0,863,863,0,0,34,89.4,770.8,577,577,0,L863_W577_26
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
38,2,0,1740.6,5.8,1,0,32,89.4,189.4,577,577,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,0,863,2
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
39,0,0,5.8,5.8,0,0,38,1824.2,189.4,577,577,0,$L5.8_W577_27
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
40,0,0,863,863,0,0,38,956.8,189.4,577,577,0,L863_W577_28
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
41,0,0,863,863,0,0,38,89.4,189.4,577,577,0,L863_W577_29
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
42,2,0,1740.6,113.8,1,0,32,89.4,5,180,180,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,0,809,2
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
43,0,0,113.8,113.8,0,0,42,1716.2,5,180,180,0,$L113.8_W180_30
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
44,0,0,809,809,0,0,42,902.8,5,180,180,0,L809_W180_31
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
45,0,0,809,809,0,0,42,89.4,5,180,180,0,L809_W180_32
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
46,0,0,80,80,0,0,31,5,5,1368,1368,0,L80_W1368_33
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#layer data(label item shall conform to template label)
#layer number,number of panels,label item
0,1,23
#code (key word - unique in the cutting pattern),BarCode,Material,CutLen,CutWid,Thickness,Length,Width,SideLen1,SideLen2,SideWid1,SideWid2,
L330_W838_3,,Cabinet Body,330,838,16,330,838,,,E2,Groove,
L310_W838_4,,Cabinet Body,310,838,16,310,838,,,E2,,
L310_W838_5,,Cabinet Body,310,838,16,310,838,,,E2,,
L80_W838_6,,Cabinet Body,80,838,16,80,838,,,MC,,
L80_W838_7,,Cabinet Body,80,838,16,80,838,,,MC,,
L560_W715_8,,Cabinet Body,560,715,16,560,715,,,E2,Groove,
L560_W715_9,,Cabinet Body,560,715,16,560,715,,,E2,Groove,
L1128_W310_10,,Cabinet Body,310,1128,16,310,1128,,,E2,,
L1128_W310_11,,Cabinet Body,310,1128,16,310,1128,,,E2,,
L1128_W80_12,,Cabinet Body,80,1128,16,80,1128,,,MC,,
L580_W1100_14,,Cabinet Body,580,1100,16,580,1100,,,E2,,
L580_W600_15,,Cabinet Body,580,600,16,580,600,,,E2,,
L580_W568_16,,Cabinet Body,580,568,16,580,568,,,E2,,
L80_W963_19,,Cabinet Body,80,963,16,80,963,,,MC,,
L80_W488_21,,Cabinet Body,80,488,16,80,488,,,E2,,
L90_W809_22,,Cabinet Body,90,809,16,90,809,,,E2,Groove,
L863_W577_25,,Cabinet Body,577,863,16,577,863,,,E2,,
L863_W577_26,,Cabinet Body,577,863,16,577,863,,,E2,,
L863_W577_28,,Cabinet Body,577,863,16,577,863,,,E2,,
L863_W577_29,,Cabinet Body,577,863,16,577,863,,,E2,,
L809_W180_31,,Cabinet Body,180,809,16,180,809,,,E2,Groove,
L809_W180_32,,Cabinet Body,180,809,16,180,809,,,E2,Groove,
L80_W1368_33,,Cabinet Body,80,1368,16,80,1368,,,MC,,
