#thickness,repetition,unprocessed,length,width,saw blade thickness,edge cutting,number of sub-panels,panel utilization,number of layers,material
16,1,1,1830,3660,4.4,5,35,0.966574,1,Cabinet Body
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
0,2,0,1830,13.2,3,5,-1,0,0,3660,3660,0,NONE
19,2,0,1263,28.2,2,0,2,549.4,1173.8,80,80,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,0,488,1
1,0,738,1
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
20,0,0,28.2,28.2,0,0,19,1784.2,1173.8,80,80,0,$L28.2_W80_15
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
21,0,0,738,738,0,0,19,1041.8,1173.8,80,80,0,L738_W80_16
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
22,0,0,488,488,0,0,19,549.4,1173.8,80,80,0,L488_W80_17
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
23,0,0,1263,1263,0,0,2,549.4,589.4,580,580,0,L1263_W580_18
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
24,0,0,1263,1263,0,0,2,549.4,5,580,580,0,L1263_W580_19
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
25,6,0,540,540,7,0,0,5,0,3660,2.6,5,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,3,5,1
1,1,338,1
2,1,370,1
3,1,868,1
4,1,900,1
5,1,970,1
6,1,180,1
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
26,0,0,540,540,0,0,25,5,3657.4,2.6,2.6,0,$L540_W2.6_20
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
27,1,0,540,35.6,1,0,25,5,3473,180,180,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,0,500,1
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
28,0,0,35.6,35.6,0,0,27,509.4,3473,180,180,0,$L35.6_W180_21
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
29,0,0,500,500,0,0,27,5,3473,180,180,0,L500_W180_22
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
30,0,0,540,540,0,0,25,5,2498.6,970,970,0,L540_W970_23
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
31,0,0,540,540,0,0,25,5,1594.2,900,900,0,L540_W900_24
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
32,0,0,540,540,0,0,25,5,721.8,868,868,0,L540_W868_25
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
33,0,0,540,540,0,0,25,5,347.4,370,370,0,L540_W370_26
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
34,0,0,540,540,0,0,25,5,5,338,338,0,L540_W338_27
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#layer data(label item shall conform to template label)
#layer number,number of panels,label item
0,1,20
#code (key word - unique in the cutting pattern),BarCode,Material,CutLen,CutWid,Thickness,Length,Width,SideLen1,SideLen2,SideWid1,SideWid2,
L310_W1468_4,,Cabinet Body,310,1468,16,310,1468,,,E2,,
L310_W1468_5,,Cabinet Body,310,1468,16,310,1468,,,E2,,
L310_W1468_6,,Cabinet Body,310,1468,16,310,1468,,,E2,,
L310_W1468_7,,Cabinet Body,310,1468,16,310,1468,,,E2,,
L310_W838_9,,Cabinet Body,310,838,16,310,838,,,E2,,
L310_W838_10,,Cabinet Body,310,838,16,310,838,,,E2,,
L310_W838_11,,Cabinet Body,310,838,16,310,838,,,E2,,
L310_W838_12,,Cabinet Body,310,838,16,310,838,,,E2,,
L938_W80_13,,Cabinet Body,80,938,16,80,938,,,E2,,
L318_W80_14,,Cabinet Body,80,318,16,80,318,,,MC,,
L738_W80_16,,Cabinet Body,80,738,16,80,738,,,MC,,
L488_W80_17,,Cabinet Body,80,488,16,80,488,,,E2,,
L1263_W580_18,,Cabinet Body,580,1263,16,580,1263,,,E2,,
L1263_W580_19,,Cabinet Body,580,1263,16,580,1263,,,E2,,
L500_W180_22,,Cabinet Body,180,500,16,180,500,,,E2,Groove,
L540_W970_23,,Cabinet Body,540,970,16,540,970,,,E2,,
L540_W900_24,,Cabinet Body,540,900,16,540,900,,,E2,,
L540_W868_25,,Cabinet Body,540,868,16,540,868,,,E2,,
L540_W370_26,,Cabinet Body,540,370,16,540,370,,,E2,,
L540_W338_27,,Cabinet Body,540,338,16,540,338,,,E2,,
